Date / Time,Mode,Category,Sub category,Income/Expense,Debit/Credit,Description
2024-01-03,UPI,Food,Meals,Expense,200,Lunch at cafe
2024-01-05,Card,Transport,Taxi,Expense,120,Taxi to office
2024-01-08,Card,Entertainment,Movies,Expense,250,Movie tickets
2024-01-02,Bank Transfer,Rent,Home,Expense,8000,Monthly rent
2024-01-10,UPI,Food,Dinner,Expense,180,Dinner with family
2024-01-14,Card,Shopping,Clothes,Expense,400,New shirt
2024-01-16,UPI,Transport,Bus,Expense,60,Bus ticket
2024-01-18,Card,Entertainment,Concerts,Expense,300,Concert tickets
2024-01-20,UPI,Food,Snacks,Expense,80,Evening snacks
2024-01-25,Bank Transfer,Rent,Home,Expense,8000,Additional rent
2024-02-02,Bank Transfer,Rent,Home,Expense,8000,Monthly rent
2024-02-05,Card,Food,Meals,Expense,220,Team lunch
2024-02-08,UPI,Transport,Taxi,Expense,150,Taxi ride
2024-02-10,UPI,Food,Dinner,Expense,180,Dinner with family
2024-02-12,Card,Shopping,Accessories,Expense,300,New watch
2024-02-14,Card,Entertainment,Movies,Expense,250,Movie tickets
2024-02-18,UPI,Transport,Train,Expense,500,Train tickets
2024-02-22,UPI,Food,Snacks,Expense,100,Evening snacks
2024-02-28,Bank Transfer,Rent,Home,Expense,8000,Monthly rent
2024-03-01,Bank Transfer,Rent,Home,Expense,8500,Monthly rent
2024-03-03,Card,Food,Meals,Expense,200,Lunch at cafe
2024-03-05,UPI,Transport,Taxi,Expense,160,Taxi ride
2024-03-09,Card,Food,Meals,Expense,300,Team lunch
2024-03-12,Card,Entertainment,Concerts,Expense,320,Live show
2024-03-15,UPI,Shopping,Clothes,Expense,400,New jeans
2024-03-18,UPI,Food,Dinner,Expense,190,Dinner with friends
2024-03-22,Card,Transport,Taxi,Expense,180,Airport ride
2024-03-28,Bank Transfer,Rent,Home,Expense,8500,Monthly rent
2024-04-02,Bank Transfer,Rent,Home,Expense,9000,Monthly rent
2024-04-05,Card,Shopping,Accessories,Expense,220,Accessory shopping
